Region 1,60.54,95.46,469.9,22,264,43.3,652.75,"4,170.9",12930121
 
 
Sample Name,sample 3
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,36.6,43.00,84.0,1.0,0.0,82.9
146,451.02,"4,695.0",,158.6,55.36,160.3,2.7,20.7,274.9
158,154.53,"1,482.1",,56.7,56.55,104.9,0.6,7.2,96.1
163,186.12,"1,732.7",,69.5,57.00,109.8,0.6,8.8,116.7
172,403.44,"3,557.5",,155.5,57.86,171.9,1.0,19.4,257.3
181,300.09,"2,513.3",,119.4,58.73,123.7,1.0,14.6,194.5
195,289.73,"2,248.4",,121.1,60.09,122.7,1.2,14.5,192.5
211,151.90,"1,091.4",,66.5,61.55,75.8,1.3,7.8,103.0
225,37.42,251.8,,17.0,62.86,22.4,0.8,1.9,25.8
234,23.94,155.3,,11.1,63.64,17.8,0.7,1.3,16.7
245,32.94,203.4,,15.8,64.73,17.6,1.0,1.7,23.2
252,40.06,240.5,,19.6,65.36,22.6,1.9,2.1,28.5
"10,380",75.00,10.9,Upper Marker,107.4,113.00,113.9,2.2,0.0,88.7
"12,392",0.00,0.0,,3.1,115.00,5.5,0.7,0.0,2.6
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,362.7,24,266,44.4,513.35,"3,262.7",12930121
 
 
Sample Name,sample 4
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,36.2,43.00,84.8,1.0,0.0,83.0
146,492.71,"5,126.9",,188.5,55.37,193.9,2.7,19.6,331.2
158,164.35,"1,578.2",,65.5,56.53,130.6,0.6,6.7,112.7
163,213.84,"1,991.9",,86.8,56.99,137.5,0.6,8.8,147.9
172,457.83,"4,035.2",,191.9,57.87,220.7,1.0,19.1,322.0
181,370.68,"3,100.2",,160.5,58.75,159.3,1.1,15.7,265.1
195,333.66,"2,588.8",,151.6,60.09,159.4,1.2,14.5,244.6
211,187.61,"1,345.8",,89.3,61.58,101.1,1.3,8.3,140.4
226,49.20,330.1,,24.4,62.92,28.5,0.9,2.2,37.4
234,24.52,158.9,,12.4,63.66,23.1,0.6,1.1,18.8
245,39.89,246.3,,20.8,64.73,23.8,1.0,1.8,31.0
252,47.22,283.4,,25.1,65.38,30.1,1.6,2.2,37.0
"10,380",75.00,10.9,Upper Marker,116.5,113.00,124.8,2.3,0.0,97.8
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,481.3,25,269,46.3,617.35,"3,919.3",12930121
 
 
Sample Name,sample 5
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,35.2,43.00,82.7,1.0,0.0,82.3
146,784.41,"8,119.3",,297.3,55.44,253.6,3.2,25.5,531.8
164,625.65,"5,767.9",,252.4,57.15,237.2,1.3,21.0,437.4
173,506.16,"4,437.2",,210.4,57.96,248.3,0.9,17.3,359.4
182,375.83,"3,123.3",,161.5,58.86,181.7,0.9,13.0,271.4
196,281.11,"2,169.8",,126.7,60.19,183.9,0.9,10.0,208.0
212,171.37,"1,223.9",,80.8,61.66,94.3,1.2,6.2,129.4
226,59.54,399.9,,29.1,62.90,34.6,0.9,2.2,45.6
234,28.22,182.4,,14.1,63.71,23.3,0.7,1.0,21.8
248,43.59,266.0,,22.6,64.99,26.6,0.9,1.6,34.3
253,55.29,330.6,,29.1,65.46,33.2,1.8,2.2,43.7
"10,380",75.00,10.9,Upper Marker,114.8,113.00,121.8,2.6,0.0,98.6
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,450.1,19,232,22.1,584.87,"3,920.5",12930121
 
 
Sample Name,sample 6
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,38.8,43.00,93.9,1.0,0.0,92.0
147,448.33,"4,624.8",,163.1,55.49,144.3,2.6,21.1,296.1
165,409.25,"3,765.2",,158.4,57.18,154.4,1.4,19.9,278.7
173,358.23,"3,131.3",,143.0,58.01,169.1,1.0,17.7,247.8
184,264.91,"2,187.2",,109.5,58.98,128.2,0.9,13.3,186.6
197,223.57,"1,717.3",,96.9,60.28,141.7,0.9,11.5,161.3
213,145.94,"1,038.4",,66.1,61.73,76.2,1.2,7.7,107.4
226,50.04,336.1,,23.4,62.90,29.4,0.9,2.7,37.3
235,25.39,163.7,,12.2,63.77,19.9,0.7,1.4,19.2
248,39.40,240.6,,19.6,64.98,23.2,1.0,2.2,30.2
254,48.59,289.9,,24.5,65.51,29.7,1.8,2.5,37.4
"10,380",75.00,10.9,Upper Marker,109.9,113.00,114.1,2.5,0.0,96.0
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,370.8,23,233,25.3,495.32,"3,325.2",12930121
 
 
Sample Name,sample 7
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,35.8,43.00,86.2,1.0,0.0,85.9
148,787.58,"8,085.8",,279.5,55.56,245.9,3.5,24.6,513.7
166,647.20,"5,915.6",,244.7,57.29,241.7,1.3,20.9,435.9
174,525.43,"4,573.2",,204.6,58.08,252.9,0.9,17.2,359.2
183,391.64,"3,244.1",,157.2,58.92,184.8,0.9,13.0,272.0
198,310.70,"2,377.8",,131.2,60.35,190.9,0.9,10.6,221.5
214,186.01,"1,316.9",,82.2,61.83,99.0,1.2,6.5,135.2
227,63.09,421.3,,28.8,63.02,36.5,0.9,2.2,46.5
236,29.34,188.4,,13.7,63.86,24.1,0.6,1.0,21.9
249,48.79,296.4,,23.6,65.10,28.2,1.0,1.8,36.9
255,59.20,351.2,,29.1,65.64,36.1,1.9,2.2,45.1
"10,380",75.00,10.9,Upper Marker,106.5,113.00,115.0,3.0,0.0,94.7
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,484.0,20,233,28.3,655.37,"4,409.5",12930121
 
 
Sample Name,sample 8
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,39.3,43.00,96.2,1.0,0.0,94.9
148,613.42,"6,300.7",,257.5,55.55,224.7,3.4,24.4,477.4
165,514.19,"4,710.8",,229.8,57.25,224.7,1.4,21.1,412.9
174,474.61,"4,137.8",,218.4,58.05,241.1,1.1,19.8,386.9
185,230.43,"1,883.6",,110.3,59.15,166.4,0.7,9.8,191.7
198,326.77,"2,501.0",,163.3,60.35,180.7,1.5,14.2,277.9
214,116.08,821.2,,60.7,61.85,75.0,1.1,5.1,100.7
226,52.33,350.6,,28.2,62.95,36.2,0.9,2.3,46.0
235,24.58,158.3,,13.6,63.80,23.5,0.7,1.1,21.8
255,47.73,283.7,,27.7,65.60,33.4,1.9,2.2,43.3
"10,380",75.00,10.9,Upper Marker,125.9,113.00,133.0,3.1,0.0,113.0
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,451.4,20,249,42.8,508.79,"3,371.3",12930121
 
 
Sample Name,sample 9
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,32.8,43.00,80.4,1.0,0.0,79.8
148,629.16,"6,457.1",,200.8,55.56,176.4,3.5,23.7,375.4
166,516.74,"4,724.1",,175.7,57.28,180.4,1.3,20.1,318.2
174,417.86,"3,644.5",,146.1,58.04,178.8,1.0,16.5,261.1
183,299.82,"2,478.3",,108.3,58.96,134.2,0.9,12.0,190.5
198,346.65,"2,657.0",,131.5,60.32,138.7,1.5,14.3,225.9
214,145.55,"1,030.0",,57.8,61.84,71.6,1.2,6.1,96.8
226,52.01,348.3,,21.3,62.96,28.7,0.9,2.2,35.1
236,27.95,179.4,,11.8,63.87,18.7,0.7,1.2,19.1
249,43.84,267.0,,19.0,65.03,21.2,1.0,1.9,30.3
255,47.17,279.9,,20.8,65.64,26.0,1.8,2.0,32.8
"10,380",75.00,10.9,Upper Marker,95.4,113.00,102.4,2.2,0.0,86.6
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,380.0,21,237,31.3,561.63,"3,763.1",12930121
 
 
Sample Name,sample 10
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,34.6,43.00,86.5,1.0,0.0,84.3
148,516.31,"5,297.9",,188.6,55.56,167.0,3.5,22.0,354.2
166,453.89,"4,143.2",,176.7,57.31,183.7,1.3,19.9,321.6
175,446.25,"3,872.3",,179.0,58.13,197.4,1.1,19.9,321.1
186,228.37,"1,861.0",,95.2,59.21,143.5,0.7,10.4,167.7
198,337.22,"2,576.2",,146.6,60.38,159.6,1.5,15.7,253.0
215,115.41,813.4,,52.5,61.92,70.7,1.1,5.5,88.3
227,54.97,367.4,,25.8,63.00,34.3,0.9,2.6,42.6
236,31.02,199.0,,14.9,63.87,24.3,0.7,1.5,24.3
256,50.70,299.8,,25.7,65.72,32.2,1.8,2.5,40.6
"10,380",75.00,10.9,Upper Marker,108.8,113.00,121.3,3.2,0.0,99.6
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,429.0,23,257,50.3,547.75,"3,622.1",12930121
 
 
Sample Name,sample 11
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,36.2,43.00,89.9,1.0,0.0,88.8
148,145.06,"1,483.7",,52.9,55.61,62.0,1.9,22.9,99.9
175,139.42,"1,208.1",,55.8,58.15,72.1,1.0,23.1,100.7
183,116.37,963.2,,47.9,58.93,52.3,1.1,19.6,85.3
199,107.48,818.9,,46.6,60.44,52.9,1.2,18.6,80.9
215,53.82,379.0,,24.4,61.94,32.1,1.3,9.5,41.3
230,10.76,71.0,,5.1,63.29,7.4,0.8,1.9,8.4
250,10.72,65.1,,5.3,65.11,6.9,1.0,2.0,8.6
257,12.81,75.6,,6.5,65.78,9.1,1.5,2.4,10.3
"10,380",75.00,10.9,Upper Marker,108.1,113.00,122.1,2.4,0.0,99.9
 
Region Table
Name,From [s],To [s],Corr. Area,% of Total,Average Size [bp],Size distribution in CV [%],Conc. [pg/µl],Molarity [pmol/l],Color
Region 1,60.54,95.46,196.7,31,247,20.3,248.02,"1,576.0",12930121
 
 
Sample Name,Ladder
 
Peak Table
Size [bp],Conc. [pg/µl],Molarity [pmol/l],Observations,Area,Aligned Migration Time [s],Peak Height,Peak Width,% of Total,Time corrected area
35,125.00,"5,411.3",Lower Marker,160.3,43.00,68.6,1.0,0.0,160.3
50,150.00,"4,545.5",Ladder Peak,210.2,45.36,103.7,1.0,0.0,210.2
100,150.00,"2,272.7",Ladder Peak,208.3,51.03,128.5,1.5,0.0,208.3
150,150.00,"1,515.2",Ladder Peak,221.3,55.79,153.2,1.4,0.0,221.3
200,150.00,"1,136.4",Ladder Peak,242.0,60.54,174.1,1.3,0.0,242.0
300,150.00,757.6,Ladder Peak,270.2,69.75,205.1,1.7,0.0,270.2
400,150.00,568.2,Ladder Peak,304.8,77.69,222.1,2.1,0.0,304.8
500,150.00,454.5,Ladder Peak,306.3,83.41,236.1,2.1,0.0,306.3
600,150.00,378.8,Ladder Peak,336.2,88.26,249.1,2.2,0.0,336.2
700,150.00,324.7,Ladder Peak,321.1,91.31,250.0,2.5,0.0,321.1
"1,000",150.00,227.3,Ladder Peak,365.8,95.46,262.9,2.6,0.0,365.8
"2,000",150.00,113.6,Ladder Peak,412.7,101.44,320.5,2.6,0.0,412.7
"3,000",150.00,75.8,Ladder Peak,411.4,104.49,323.3,2.5,0.0,411.4
"7,000",150.00,32.5,Ladder Peak,399.5,109.64,261.9,2.6,0.0,399.5
"10,380",75.00,10.9,Upper Marker,213.6,113.00,148.7,2.4,0.0,213.6
 
Overall Results:
Noise:,0.4032814,
